,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
30,1,1,1,-1,-1,1,1,1,1,-1,0,1,1,1,0
31,-1,1,1,-1,1,-1,1,0,-1,-1,0,1,1,-1,0
32,1,1,1,-1,0,1,1,0,-1,-1,0,1,1,-1,0
33,1,1,1,-1,0,1,1,1,1,-1,0,1,1,1,0
34,-1,1,1,-1,1,1,1,1,0,-1,0,1,1,1,0
35,-1,1,1,-1,0,-1,1,-1,-1,-1,1,1,-1,1,0
36,1,1,-1,-1,0,0,1,-1,0,1,0,-1,-1,1,-1
37,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1
38,-1,1,1,-1,-1,-1,1,0,1,-1,0,1,1,1,1
39,1,1,1,-1,1,1,1,0,0,1,0,1,-1,1,0
40,1,1,-1,-1,0,-1,1,-1,-1,-1,0,1,1,1,0
41,1,1,1,1,1,-1,1,0,0,-1,0,1,0,1,0
42,1,1,1,-1,0,0,1,-1,1,-1,0,-1,-1,1,1
43,-1,-1,-1,-1,0,1,-1,0,-1,-1,0,1,0,1,1
44,-1,-1,1,-1,0,1,-1,0,1,-1,1,1,1,1,1
45,-1,1,1,-1,0,1,1,0,-1,1,0,1,1,1,1
46,-1,1,1,-1,1,-1,1,0,-1,-1,0,1,-1,1,0
47,1,1,1,-1,1,1,1,0,0,1,0,1,0,1,0
48,-1,-1,1,-1,0,1,-1,0,-1,-1,0,-1,-1,1,1
49,-1,-1,1,-1,0,-1,-1,-1,1,-1,1,1,-1,1,0
50,1,1,1,-1,0,1,1,0,0,1,0,1,1,1,0
51,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,0
52,-1,1,-1,-1,0,0,1,-1,0,-1,0,1,-1,1,0
53,1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,-1,1,0
54,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,0,1,0
55,1,1,1,-1,-1,1,1,0,-1,-1,0,1,0,1,0
56,-1,1,1,-1,-1,1,1,0,0,-1,0,1,-1,1,1
57,1,1,1,-1,0,0,1,-1,0,-1,0,1,-1,1,0
58,1,1,1,-1,-1,-1,1,-1,0,-1,0,1,1,1,0
59,-1,1,1,-1,1,1,1,1,1,-1,0,1,1,1,1
60,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,0
61,1,1,1,-1,0,1,1,0,0,-1,0,-1,1,1,1
62,-1,1,1,-1,0,0,1,-1,-1,-1,0,1,-1,1,1
63,1,1,1,-1,-1,1,1,1,0,0,0,1,1,1,0
64,1,1,1,1,0,1,1,0,-1,1,0,1,1,1,1
65,-1,1,1,1,0,1,1,0,0,-1,0,1,1,1,0
66,-1,1,1,-1,-1,0,1,1,-1,-1,0,1,1,-1,1
67,1,1,1,-1,0,1,1,0,0,1,0,-1,1,1,1
68,1,1,1,-1,-1,1,1,1,-1,-1,0,-1,1,1,1
69,1,1,-1,-1,0,-1,1,-1,0,-1,0,1,0,1,0
70,-1,-1,-1,-1,0,0,-1,-1,1,-1,0,-1,-1,1,0
71,1,1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,0
72,1,1,1,-1,0,1,1,0,-1,-1,0,1,0,1,0
73,1,1,1,-1,-1,1,-1,1,1,-1,0,1,1,1,1
74,1,1,1,-1,-1,-1,1,0,0,0,0,1,1,-1,0
75,1,1,-1,-1,1,1,1,1,-1,-1,0,1,1,1,1
76,1,1,1,-1,-1,-1,1,-1,0,-1,0,1,1,-1,0
77,1,1,1,-1,-1,1,1,0,0,-1,0,1,1,1,0
78,1,-1,1,1,1,1,-1,1,1,-1,0,-1,1,-1,1
79,1,1,1,-1,1,1,1,0,-1,-1,0,1,1,1,0
80,-1,1,1,-1,-1,0,1,-1,1,-1,0,1,0,1,1
81,-1,1,1,-1,0,-1,1,0,-1,-1,1,1,-1,1,0
82,1,1,1,1,-1,1,1,1,1,-1,0,-1,1,1,1
83,1,1,1,-1,-1,1,1,0,1,-1,0,1,1,1,0
84,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0
85,1,1,1,1,-1,1,1,1,-1,1,0,1,1,1,0
86,1,1,1,-1,0,-1,1,-1,1,-1,0,-1,-1,1,0
87,1,1,1,-1,1,-1,1,0,0,-1,1,-1,0,-1,0
88,-1,1,1,-1,1,1,1,0,0,0,0,1,0,1,0
89,1,1,1,-1,1,-1,1,1,1,-1,0,-1,1,1,1
90,1,1,1,-1,1,-1,1,-1,-1,1,0,-1,-1,1,0
91,1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,1,0
92,-1,-1,1,-1,0,-1,-1,-1,1,-1,1,-1,1,1,1
93,1,1,1,-1,1,1,1,0,-1,-1,0,1,0,1,0
94,1,1,1,-1,1,1,1,1,-1,-1,0,1,1,1,1
95,1,1,1,-1,0,0,1,-1,-1,-1,0,1,-1,1,0
96,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
97,-1,1,1,-1,1,1,1,0,-1,-1,0,1,1,1,1
98,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,0,1,0
99,-1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,1
100,1,1,1,-1,1,1,1,0,0,1,0,1,1,1,0
101,1,1,1,1,1,1,1,0,-1,1,0,1,0,1,0
102,1,1,1,-1,1,1,1,1,0,1,0,1,1,1,0
103,-1,1,-1,-1,1,1,1,0,-1,1,0,1,1,1,1
104,-1,1,-1,1,1,1,1,0,-1,-1,0,1,1,1,1
105,1,1,1,-1,0,-1,1,0,-1,-1,0,-1,1,1,1
106,-1,1,1,-1,0,-1,1,-1,-1,0,0,1,0,1,1
107,-1,1,1,-1,0,1,-1,-1,-1,-1,0,1,0,1,0
108,1,1,1,1,0,-1,1,0,-1,-1,0,1,-1,1,1
109,1,1,1,-1,1,1,1,1,0,-1,0,1,0,1,0
110,1,1,1,-1,1,-1,1,-1,0,-1,0,1,0,1,0
111,-1,1,1,-1,1,-1,1,0,-1,-1,0,1,1,1,1
112,1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,0
113,-1,-1,1,-1,-1,1,-1,0,-1,-1,1,-1,1,1,1
114,1,1,-1,-1,1,1,1,0,1,-1,0,1,1,1,0
115,-1,1,1,-1,1,1,1,1,-1,-1,0,1,-1,1,1
116,1,1,1,-1,1,1,1,1,0,-1,0,-1,1,1,1
117,1,1,1,-1,-1,1,1,0,-1,-1,0,-1,0,1,1
118,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,1
119,-1,1,1,1,1,1,1,1,0,-1,0,1,0,1,1
120,-1,1,-1,-1,0,-1,1,-1,0,-1,0,1,-1,1,0
121,1,1,1,-1,0,-1,1,0,-1,-1,0,1,1,1,0
122,1,-1,1,-1,1,1,-1,0,1,-1,0,-1,1,1,0
123,1,1,1,-1,-1,1,1,0,0,1,0,1,1,1,0
124,1,1,1,-1,-1,-1,1,1,-1,-1,0,1,-1,-1,1
125,1,1,1,-1,0,-1,1,-1,-1,0,1,1,0,1,0
126,-1,1,1,-1,0,1,1,0,-1,-1,1,1,0,1,1
127,1,1,1,-1,1,1,1,1,1,1,0,1,0,-1,0
128,1,1,1,-1,0,0,1,-1,0,-1,0,-1,0,1,0
129,1,1,1,-1,-1,1,1,0,0,-1,0,1,0,1,0
130,1,1,1,-1,-1,0,1,-1,-1,-1,0,1,0,1,0
131,1,1,1,-1,0,0,1,-1,0,1,0,1,0,1,0
132,1,-1,1,-1,0,-1,-1,-1,1,-1,0,-1,1,-1,1
133,1,1,1,-1,-1,1,1,-1,-1,-1,0,-1,0,1,0
134,1,1,1,1,0,1,1,0,-1,-1,0,-1,1,1,1
135,1,1,1,-1,-1,1,1,0,-1,-1,0,-1,1,-1,1
136,1,1,1,1,-1,1,1,0,-1,-1,0,-1,1,1,1
137,-1,-1,1,-1,0,-1,-1,0,0,-1,0,-1,1,-1,1
138,1,1,1,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,1
139,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,1,1,0
140,1,1,1,-1,-1,1,1,0,0,-1,0,-1,1,1,1
141,1,1,1,-1,-1,0,1,-1,0,-1,0,1,1,1,0
142,1,1,1,1,0,1,1,1,0,-1,0,-1,1,1,1
143,-1,-1,1,-1,1,1,-1,0,-1,1,1,-1,1,-1,1
144,-1,1,1,-1,-1,-1,1,0,0,-1,0,1,1,1,1
145,-1,-1,1,-1,0,1,-1,1,1,1,1,-1,1,1,1
146,-1,-1,1,-1,0,0,-1,-1,1,-1,0,-1,-1,-1,0
147,1,1,1,-1,-1,1,1,0,0,-1,0,1,1,1,0
148,-1,1,1,-1,1,1,1,1,-1,-1,0,1,0,1,1
149,1,1,1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,0
150,-1,1,1,-1,-1,-1,1,-1,0,0,0,1,1,1,1
151,1,1,1,-1,0,-1,1,-1,-1,1,0,1,0,1,0
152,-1,1,1,-1,0,0,1,-1,0,-1,0,1,-1,1,0
153,-1,-1,1,-1,1,1,-1,0,1,-1,0,-1,1,-1,1
154,1,1,1,-1,0,1,1,0,-1,-1,0,1,1,-1,0
155,-1,1,1,-1,-1,1,1,1,0,-1,0,1,-1,1,1
156,-1,1,1,-1,1,1,1,0,1,0,0,1,0,1,1
157,1,1,1,1,0,1,1,1,1,-1,0,1,1,1,1
158,1,1,1,-1,-1,-1,1,0,0,1,0,1,0,-1,0
159,-1,1,-1,1,1,1,1,1,1,-1,0,1,0,1,1
160,-1,1,1,-1,0,1,1,0,-1,0,0,1,1,1,1
161,1,1,1,-1,0,0,1,-1,0,1,0,-1,-1,1,0
162,-1,-1,1,-1,1,-1,-1,1,0,-1,1,-1,0,1,1
163,-1,1,1,-1,0,-1,1,-1,-1,-1,0,1,1,1,0
164,-1,1,1,-1,0,-1,1,0,-1,-1,0,1,1,1,0
165,1,1,1,-1,1,-1,1,-1,0,-1,0,-1,-1,1,0
166,1,1,1,-1,0,0,1,-1,0,-1,0,-1,-1,1,0
167,1,1,-1,-1,0,-1,1,-1,0,1,0,-1,-1,-1,1
168,1,1,1,-1,-1,1,1,1,0,-1,0,1,1,1,0
169,1,1,1,-1,0,0,1,-1,0,1,0,-1,0,1,0
170,-1,1,1,-1,1,1,1,0,0,0,0,1,1,1,1
171,1,1,1,-1,0,1,1,0,1,-1,0,-1,1,1,1
172,-1,-1,1,-1,1,1,1,0,1,-1,0,1,0,1,0
173,1,1,-1,-1,0,0,1,-1,0,-1,0,1,-1,1,1
174,1,1,1,-1,-1,1,1,0,1,-1,0,1,1,1,0
175,1,1,1,1,-1,1,1,1,0,-1,0,1,0,1,0
176,1,-1,1,-1,1,1,-1,1,0,-1,1,-1,-1,1,1
177,-1,-1,1,-1,0,1,-1,0,1,-1,1,1,1,1,1
178,1,1,1,-1,1,-1,1,0,-1,-1,0,-1,0,1,1
179,-1,-1,1,-1,0,1,-1,0,0,1,1,-1,1,1,1
180,1,1,1,-1,1,1,1,0,-1,0,0,1,-1,1,0
181,1,1,1,1,1,1,1,1,-1,1,0,1,0,1,0
182,1,1,1,-1,1,1,1,1,1,-1,0,1,1,1,0
183,-1,1,1,-1,1,-1,1,1,1,-1,0,1,1,1,1
184,-1,-1,1,-1,0,1,-1,0,0,-1,1,-1,1,1,1
185,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1
186,1,1,1,1,-1,1,1,0,-1,1,0,-1,1,1,1
187,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1
188,1,1,1,1,0,1,1,1,-1,-1,0,-1,1,1,1
189,-1,-1,1,-1,1,1,-1,0,0,-1,1,-1,1,1,1
190,1,1,-1,-1,0,1,1,0,0,0,0,1,1,1,0
191,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,0,1,0
192,1,1,1,1,-1,1,1,0,0,-1,0,-1,1,1,1
193,1,1,1,-1,1,1,1,0,0,1,0,-1,0,1,0
194,1,1,1,1,1,1,1,-1,0,-1,0,1,-1,1,1
195,1,1,1,-1,1,0,1,-1,0,0,0,1,-1,1,0
196,1,1,-1,-1,0,0,1,-1,0,-1,0,1,-1,1,0
197,-1,1,-1,-1,0,1,1,0,-1,1,0,1,1,1,1
198,1,1,1,-1,0,1,1,0,0,1,0,1,1,1,0
199,-1,1,1,-1,0,-1,1,1,0,-1,0,1,1,1,0
200,-1,1,1,-1,0,-1,1,-1,-1,0,0,1,-1,1,0
201,1,1,1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,1
202,1,1,1,-1,1,1,1,0,-1,1,0,1,1,1,0
203,1,1,1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,0
204,1,1,1,-1,0,1,1,0,-1,-1,0,1,1,1,0
205,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,0
206,-1,1,1,-1,0,0,1,-1,0,-1,0,1,-1,1,0
207,1,1,1,-1,1,1,1,0,-1,-1,0,1,-1,1,0
208,1,1,1,-1,1,1,1,1,1,-1,0,1,1,1,0
209,1,1,-1,-1,1,1,1,0,1,-1,0,1,1,1,-1
210,1,1,1,-1,0,1,-1,0,0,-1,0,1,1,1,0
211,-1,1,1,-1,-1,-1,1,-1,0,-1,0,1,1,1,0
212,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,0
213,1,1,1,-1,1,-1,-1,0,-1,-1,0,-1,0,1,-1
214,1,1,1,-1,0,-1,1,0,0,1,0,1,1,1,0
215,1,1,1,-1,1,-1,1,-1,0,-1,0,1,-1,-1,0
216,-1,1,-1,-1,1,-1,1,-1,0,-1,0,1,1,-1,1
217,-1,-1,1,-1,0,0,-1,-1,1,-1,1,1,-1,1,0
218,1,1,1,1,0,1,1,1,-1,1,0,1,1,1,1
219,-1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,1
220,-1,1,1,-1,0,1,1,0,0,-1,0,1,1,1,-1
221,-1,1,1,-1,1,-1,1,0,-1,-1,1,1,1,1,0
222,1,1,1,-1,-1,1,1,0,-1,-1,0,-1,0,-1,0
223,1,1,1,-1,0,1,1,0,0,-1,0,1,-1,1,0
224,1,1,1,-1,0,1,1,0,1,1,0,-1,1,1,-1
225,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
226,1,1,-1,-1,0,0,1,-1,0,-1,0,1,-1,1,0
227,1,1,-1,1,1,1,-1,1,-1,-1,0,1,0,1,0
228,-1,1,1,-1,-1,1,1,0,0,0,0,1,-1,1,1
229,1,1,1,-1,-1,-1,1,0,-1,-1,0,1,1,1,0
230,1,1,1,-1,0,-1,1,-1,0,-1,0,-1,0,1,1
231,1,1,1,-1,0,0,1,-1,-1,-1,0,1,-1,1,0
232,1,1,1,-1,0,0,1,-1,0,1,0,-1,1,-1,1
233,-1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,0,1,1
234,-1,1,-1,-1,-1,1,1,0,-1,-1,0,1,1,1,1
235,1,1,1,-1,-1,-1,1,-1,0,0,0,1,1,1,0
236,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1
237,1,1,1,-1,-1,1,1,0,-1,-1,0,1,0,-1,0
238,1,1,1,-1,1,1,1,0,0,-1,0,1,1,1,0
239,1,1,1,-1,-1,1,1,0,-1,-1,0,-1,1,-1,1
240,1,-1,1,1,-1,1,-1,0,1,1,0,-1,1,1,-1
241,1,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,0,-1,1
242,-1,1,1,-1,0,1,1,0,-1,-1,0,1,1,1,1
243,1,1,1,1,-1,1,1,0,0,-1,0,-1,1,1,1
244,1,1,1,-1,1,-1,1,0,-1,-1,0,1,-1,1,0
245,1,1,1,-1,0,-1,1,-1,1,-1,0,1,-1,1,0
246,1,1,1,-1,0,1,1,1,-1,-1,0,-1,1,1,1
247,1,1,-1,-1,1,1,1,0,1,1,0,1,1,1,0
248,1,1,1,-1,1,-1,1,1,0,-1,0,1,0,1,0
249,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,1,1
250,1,1,1,-1,0,1,1,0,0,-1,0,1,1,1,0
251,1,1,1,-1,-1,1,1,0,0,-1,0,1,1,1,0
252,1,1,1,-1,1,1,1,0,0,-1,0,1,1,1,0
253,1,1,1,-1,0,1,1,0,0,-1,0,-1,1,1,1
254,1,1,1,-1,1,1,1,1,1,-1,0,1,-1,1,0
255,1,-1,-1,-1,1,1,-1,0,0,-1,0,1,-1,1,0
256,1,1,1,-1,1,-1,1,-1,-1,-1,0,1,-1,1,0
257,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0
258,1,1,1,-1,1,1,1,0,-1,-1,0,1,-1,1,0
259,1,1,1,-1,-1,-1,1,0,0,-1,0,-1,1,1,0
260,1,1,1,-1,-1,0,1,0,-1,-1,0,1,1,1,-1
261,1,-1,-1,-1,1,1,1,0,1,1,0,1,1,-1,0
262,1,1,1,-1,0,1,1,1,-1,-1,0,1,0,1,0
263,1,1,1,-1,-1,-1,1,-1,0,1,0,1,-1,1,0
264,-1,1,1,-1,-1,1,1,0,0,-1,0,1,-1,1,1
265,-1,1,1,-1,1,1,1,0,0,-1,0,1,0,1,0
266,1,1,1,-1,1,-1,1,0,-1,-1,0,-1,0,1,1
267,1,1,1,-1,1,1,1,0,-1,1,0,1,1,1,0
268,1,1,1,-1,0,1,1,-1,0,-1,0,1,0,1,0
269,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,0
270,-1,1,1,1,0,1,1,1,0,-1,0,1,1,1,1
271,1,1,-1,1,1,1,1,0,1,-1,0,1,1,1,0
272,1,1,1,-1,1,1,1,0,1,1,0,1,1,1,0
273,1,1,1,-1,-1,-1,1,0,-1,-1,0,1,-1,1,0
274,1,1,1,-1,0,1,1,0,0,-1,0,1,1,1,1
275,1,1,-1,-1,1,0,1,1,-1,-1,0,1,1,1,0
276,1,1,-1,-1,0,-1,1,-1,0,-1,0,1,1,1,0
277,-1,-1,1,-1,0,1,-1,0,0,-1,0,-1,1,-1,1
278,1,1,1,-1,1,1,1,0,1,-1,0,1,0,1,0
279,-1,1,1,-1,1,-1,1,0,-1,-1,0,1,-1,1,1
280,1,1,1,-1,1,-1,1,0,0,-1,1,1,0,-1,0
281,1,1,1,-1,0,-1,1,0,-1,1,0,1,1,1,0
282,1,1,-1,-1,-1,-1,1,-1,0,1,0,1,-1,-1,0
283,1,1,1,-1,0,1,1,1,0,-1,0,1,1,1,0
284,-1,1,-1,-1,1,-1,1,0,-1,-1,0,1,1,1,1
285,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,1,1
286,1,1,1,-1,0,1,1,1,0,-1,0,1,1,1,-1
287,1,1,-1,-1,-1,1,1,0,1,1,0,1,1,1,0
288,1,1,1,-1,0,-1,1,-1,0,-1,0,1,-1,1,0
289,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,1,1,0
290,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
291,1,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,1,0
292,1,1,-1,-1,0,0,1,-1,0,1,0,-1,-1,1,0
293,1,1,1,-1,1,1,1,0,0,0,0,1,-1,1,0
294,1,1,-1,1,0,1,-1,1,-1,-1,0,1,-1,1,0
295,1,1,1,-1,0,-1,1,-1,1,0,0,1,-1,1,1
296,1,1,1,-1,-1,-1,1,0,0,-1,0,-1,1,1,1
297,1,1,1,-1,1,1,1,1,-1,-1,0,-1,1,1,1
298,-1,-1,1,1,0,1,-1,0,-1,1,1,-1,1,1,1
299,-1,1,-1,-1,1,-1,1,1,-1,-1,0,1,-1,-1,1
300,1,1,1,-1,-1,-1,1,-1,0,-1,0,-1,1,1,0
301,-1,1,-1,-1,1,1,1,0,-1,-1,0,1,-1,1,1
302,1,1,1,-1,-1,1,1,1,0,1,0,1,1,1,0
303,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,0,-1,1
304,1,1,1,-1,1,1,1,0,0,-1,0,-1,0,1,0
305,1,1,1,-1,-1,1,1,0,1,-1,0,-1,0,1,0
306,1,1,1,-1,-1,-1,1,-1,0,-1,0,-1,0,1,0
307,-1,-1,1,-1,1,0,-1,-1,0,-1,0,-1,1,1,-1
308,1,1,1,-1,-1,-1,1,0,0,-1,0,1,-1,-1,0
309,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1
310,-1,-1,1,1,-1,1,-1,0,0,-1,1,-1,1,1,1
311,1,1,1,-1,1,1,1,1,-1,1,0,1,1,1,0
312,1,1,1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0
313,1,1,1,-1,0,1,1,0,-1,-1,0,-1,1,1,1
314,1,1,1,-1,-1,-1,1,-1,0,-1,0,-1,-1,1,0
315,1,1,1,-1,1,1,1,0,1,0,0,1,-1,1,-1
316,1,1,1,-1,1,1,1,1,0,0,0,1,1,1,0
317,1,1,1,-1,0,-1,1,0,0,1,0,1,1,1,0
318,1,1,1,-1,-1,1,1,0,-1,1,0,1,1,1,0
319,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,1
320,1,1,1,-1,-1,-1,1,-1,0,-1,0,1,-1,1,0
321,1,1,1,-1,0,-1,1,0,0,-1,0,-1,1,1,1
322,1,1,1,-1,0,1,1,0,-1,0,0,1,1,1,0
323,1,1,1,-1,1,1,1,0,1,0,0,1,0,1,0
324,1,1,1,-1,-1,-1,1,-1,0,1,0,-1,-1,1,0
325,1,1,1,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,0
326,1,1,1,-1,0,-1,1,0,1,1,0,1,1,1,0
327,-1,1,-1,-1,1,1,1,1,1,1,0,1,1,-1,1
328,1,1,1,-1,0,0,1,-1,0,1,0,-1,-1,1,0
329,1,1,1,-1,-1,1,1,0,1,-1,0,1,0,1,0
330,-1,1,1,-1,0,0,1,-1,0,-1,0,1,0,1,1
331,1,1,-1,-1,0,-1,1,0,0,-1,0,1,1,1,0
332,-1,-1,1,-1,0,1,-1,0,0,1,1,-1,1,1,1
333,1,1,1,-1,0,1,1,0,-1,-1,0,1,1,-1,0
334,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,0
335,1,1,1,-1,-1,1,1,1,1,-1,0,-1,1,-1,1
336,-1,1,1,-1,0,0,1,-1,0,-1,0,1,0,1,1
337,1,1,-1,-1,0,0,1,-1,0,-1,0,-1,-1,1,0
338,1,1,1,-1,0,0,1,-1,-1,-1,0,-1,-1,1,1
339,-1,1,1,-1,0,1,1,0,0,-1,0,1,0,1,0
340,-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,0,1,0
341,1,1,1,1,-1,1,1,1,0,1,0,-1,-1,1,1
342,1,1,1,1,-1,1,1,0,0,1,0,-1,1,1,1
343,1,1,1,-1,-1,-1,1,0,0,-1,0,-1,1,1,0
344,-1,-1,1,1,0,1,-1,0,0,-1,1,-1,1,1,1
345,1,1,-1,-1,0,0,1,-1,0,-1,0,1,-1,1,1
346,1,1,1,-1,0,1,1,1,1,-1,0,1,1,1,0
347,-1,1,1,-1,1,-1,1,0,0,-1,0,1,-1,1,1
348,-1,1,-1,-1,1,0,1,-1,0,-1,0,1,0,1,1
349,1,1,1,-1,1,1,1,0,0,-1,0,-1,0,-1,1
350,1,1,1,-1,1,1,1,0,0,1,0,1,1,1,0
351,1,1,1,-1,1,-1,1,0,0,-1,0,1,0,1,0
352,1,1,1,-1,0,1,1,0,0,0,0,1,1,1,0
353,-1,1,1,-1,1,1,1,1,1,1,0,1,1,-1,1
354,-1,1,1,-1,-1,0,1,-1,0,-1,0,1,0,-1,0
355,-1,1,1,-1,0,-1,1,0,-1,-1,0,1,1,1,1
356,-1,1,1,-1,1,1,1,1,1,1,0,1,-1,1,1
357,1,1,1,-1,1,-1,-1,0,1,-1,0,1,0,1,-1
358,1,1,1,-1,-1,1,1,0,-1,-1,0,-1,0,-1,0
359,-1,1,1,-1,0,-1,1,0,-1,1,0,1,-1,1,1
360,1,1,1,1,0,1,1,0,-1,-1,0,1,0,1,0
361,1,1,1,1,-1,1,1,1,1,-1,0,1,1,1,0
362,-1,1,1,-1,1,-1,1,0,0,1,0,1,0,1,1
363,1,1,1,-1,-1,-1,1,0,-1,-1,0,1,1,-1,0
364,1,1,1,-1,1,1,1,1,1,-1,0,-1,1,-1,1
365,-1,1,1,-1,1,1,1,0,0,-1,0,1,1,1,0
366,1,1,-1,-1,-1,1,-1,0,-1,1,0,1,-1,1,-1
367,-1,-1,1,1,-1,1,-1,1,1,-1,0,-1,1,-1,0
368,1,1,1,1,1,1,1,0,0,-1,0,1,1,1,0
369,1,1,1,-1,1,1,1,0,1,-1,0,-1,1,1,1
370,-1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,1,-1,1
371,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,0,1,0
372,1,1,1,-1,-1,-1,1,-1,0,-1,0,-1,1,1,1
373,1,1,1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,1
374,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,1,1,0
375,1,-1,-1,-1,-1,0,-1,-1,1,0,1,-1,1,1,0
376,1,1,1,-1,-1,-1,1,-1,0,-1,0,-1,0,1,0
377,1,1,1,-1,0,-1,1,-1,-1,-1,0,1,-1,1,0
378,-1,1,1,-1,-1,0,1,-1,-1,-1,0,1,0,1,0
379,-1,1,1,-1,0,-1,1,0,-1,-1,0,1,1,1,1
380,-1,-1,1,-1,-1,1,-1,0,1,-1,1,1,1,1,1
381,1,1,1,-1,-1,-1,1,0,-1,-1,0,1,-1,1,0
